Ticker;Name;Sector;Asset Class;Market Value;Weight (%);Notional Value;Shares;CUSIP;ISIN;SEDOL;Price;Location;Exchange;Currency;FX Rate;Maturity;Market Currency
BRKB;BERKSHIRE HATHAWAY INC CLASS B;Financials;Equity;1,307,775,213.00;3.07;1,307,775,213.00;5,773,842.00;084670702;US0846707026;2073390;226.50;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
JPM;JPMORGAN CHASE & CO;Financials;Equity;1,282,965,112.00;3.01;1,282,965,112.00;9,203,480.00;46625H100;US46625H1005;2190385;139.40;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
JNJ;JOHNSON & JOHNSON;Health Care;Equity;970,898,175.18;2.28;970,898,175.18;6,655,914.00;478160104;US4781601046;2475833;145.87;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
XOM;EXXON MOBIL CORP;Energy;Equity;871,731,883.50;2.04;871,731,883.50;12,492,575.00;30231G102;US30231G1022;2326618;69.78;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
PG;PROCTER & GAMBLE;Consumer Staples;Equity;858,255,346.00;2.01;858,255,346.00;6,871,540.00;742718109;US7427181091;2704407;124.90;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
BAC;BANK OF AMERICA CORP;Financials;Equity;845,783,646.00;1.98;845,783,646.00;24,014,300.00;060505104;US0605051046;2295677;35.22;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
T;AT&T INC;Communication;Equity;841,989,425.16;1.97;841,989,425.16;21,545,277.00;00206R102;US00206R1023;2831811;39.08;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
INTC;INTEL CORPORATION CORP;Information Technology;Equity;768,888,760.50;1.80;768,888,760.50;12,846,930.00;458140100;US4581401001;2463247;59.85;United States;NASDAQ;USD;1.00;-;USD
VZ;VERIZON COMMUNICATIONS INC;Communication;Equity;749,889,988.80;1.76;749,889,988.80;12,213,192.00;92343V104;US92343V1044;2090571;61.40;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
DIS;WALT DISNEY;Communication;Equity;745,291,985.22;1.75;745,291,985.22;5,153,094.00;254687106;US2546871060;2270726;144.63;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
CVX;CHEVRON CORP;Energy;Equity;678,100,731.75;1.59;678,100,731.75;5,626,925.00;166764100;US1667641005;2838555;120.51;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
PFE;PFIZER INC;Health Care;Equity;643,234,358.88;1.51;643,234,358.88;16,417,416.00;717081103;US7170811035;2684703;39.18;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
WFC;WELLS FARGO;Financials;Equity;604,992,513.20;1.42;604,992,513.20;11,245,214.00;949746101;US9497461015;2649100;53.80;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
C;CITIGROUP INC;Financials;Equity;514,395,172.77;1.21;514,395,172.77;6,438,793.00;172967424;US1729674242;2297907;79.89;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
WMT;WALMART INC;Consumer Staples;Equity;492,422,334.16;1.15;492,422,334.16;4,143,574.00;931142103;US9311421039;2936921;118.84;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
MDT;MEDTRONIC PLC;Health Care;Equity;449,234,431.65;1.05;449,234,431.65;3,959,757.00;G5960L103;IE00BTN1Y115;BTN1Y11;113.45;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
PM;PHILIP MORRIS INTERNATIONAL INC;Consumer Staples;Equity;390,180,280.09;0.92;390,180,280.09;4,585,501.00;718172109;US7181721090;B2PKRQ3;85.09;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
MCD;MCDONALDS CORP;Consumer Discretionary;Equity;368,603,909.10;0.86;368,603,909.10;1,865,310.00;580135101;US5801351017;2550707;197.61;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
UTX;UNITED TECHNOLOGIES CORP;Industrials;Equity;358,339,737.60;0.84;358,339,737.60;2,392,760.00;913017109;US9130171096;2915500;149.76;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
NEE;NEXTERA ENERGY INC;Utilities;Equity;348,991,547.76;0.82;348,991,547.76;1,441,161.00;65339F101;US65339F1012;2328915;242.16;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
LIN;LINDE PLC;Materials;Equity;337,466,938.40;0.79;337,466,938.40;1,585,096.00;G5494J103;IE00BZ12WP82;BZ12WP8;212.90;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
CMCSA;COMCAST CORP CLASS A;Communication;Equity;316,693,445.19;0.74;316,693,445.19;7,042,327.00;20030N101;US20030N1019;2044545;44.97;United States;NASDAQ;USD;1.00;-;USD
HD;HOME DEPOT INC;Consumer Discretionary;Equity;305,478,460.82;0.72;305,478,460.82;1,398,839.00;437076102;US4370761029;2434209;218.38;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
GE;GENERAL ELECTRIC;Industrials;Equity;284,853,174.48;0.67;284,853,174.48;25,524,478.00;369604103;US3696041033;2380498;11.16;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
CVS;CVS HEALTH CORP;Health Care;Equity;284,455,221.36;0.67;284,455,221.36;3,828,984.00;126650100;US1266501006;2577609;74.29;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
DHR;DANAHER CORP;Health Care;Equity;264,151,051.44;0.62;264,151,051.44;1,721,078.00;235851102;US2358511028;2250870;153.48;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
USB;US BANCORP;Financials;Equity;250,201,665.56;0.59;250,201,665.56;4,219,964.00;902973304;US9029733048;2736035;59.29;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
ABT;ABBOTT LABORATORIES;Health Care;Equity;250,178,428.14;0.59;250,178,428.14;2,880,249.00;002824100;US0028241000;2002305;86.86;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
MDLZ;MONDELEZ INTERNATIONAL INC CLASS A;Consumer Staples;Equity;230,883,462.72;0.54;230,883,462.72;4,191,784.00;609207105;US6092071058;B8CKK03;55.08;United States;NASDAQ;USD;1.00;-;USD
TFC;TRUIST FINANCIAL CORP;Financials;Equity;222,265,528.32;0.52;222,265,528.32;3,946,476.00;89832Q109;US89832Q1094;BKP7287;56.32;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
GS;GOLDMAN SACHS GROUP INC;Financials;Equity;216,145,236.64;0.51;216,145,236.64;940,048.00;38141G104;US38141G1040;2407966;229.93;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
CAT;CATERPILLAR INC;Industrials;Equity;215,224,106.24;0.50;215,224,106.24;1,457,368.00;149123101;US1491231015;2180201;147.68;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
COP;CONOCOPHILLIPS;Energy;Equity;210,621,375.02;0.49;210,621,375.02;3,238,834.00;20825C104;US20825C1045;2685717;65.03;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
CME;CME GROUP INC CLASS A;Financials;Equity;209,552,683.60;0.49;209,552,683.60;1,044,005.00;12572Q105;US12572Q1058;2965839;200.72;United States;NASDAQ;USD;1.00;-;USD
GILD;GILEAD SCIENCES INC;Health Care;Equity;209,385,443.88;0.49;209,385,443.88;3,222,306.00;375558103;US3755581036;2369174;64.98;United States;NASDAQ;USD;1.00;-;USD
CB;CHUBB LTD;Financials;Equity;206,835,092.92;0.49;206,835,092.92;1,328,762.00;-;CH0044328745;B3BQMF6;155.66;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
PNC;PNC FINANCIAL SERVICES GROUP INC;Financials;Equity;205,994,214.24;0.48;205,994,214.24;1,290,448.00;693475105;US6934751057;2692665;159.63;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
D;DOMINION ENERGY INC;Utilities;Equity;200,738,122.16;0.47;200,738,122.16;2,423,788.00;25746U109;US25746U1097;2542049;82.82;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
KO;COCA-COLA;Consumer Staples;Equity;199,009,098.45;0.47;199,009,098.45;3,595,467.00;191216100;US1912161007;2206657;55.35;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
BDX;BECTON DICKINSON;Health Care;Equity;196,465,144.66;0.46;196,465,144.66;722,378.00;075887109;US0758871091;2087807;271.97;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
DUK;DUKE ENERGY CORP;Utilities;Equity;195,902,570.99;0.46;195,902,570.99;2,147,819.00;26441C204;US26441C2044;B7VD3F2;91.21;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
SO;SOUTHERN;Utilities;Equity;195,424,401.90;0.46;195,424,401.90;3,067,887.00;842587107;US8425871071;2829601;63.70;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
HON;HONEYWELL INTERNATIONAL INC;Industrials;Equity;192,189,255.00;0.45;192,189,255.00;1,085,815.00;438516106;US4385161066;2020459;177.00;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
AGN;ALLERGAN;Health Care;Equity;184,865,595.74;0.43;184,865,595.74;967,022.00;-;IE00BY9D5467;BY9D546;191.17;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
BMY;BRISTOL MYERS SQUIBB;Health Care;Equity;182,821,528.89;0.43;182,821,528.89;2,848,131.00;110122108;US1101221083;2126335;64.19;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
TGT;TARGET CORP;Consumer Discretionary;Equity;178,551,143.66;0.42;178,551,143.66;1,392,646.00;87612E106;US87612E1064;2259101;128.21;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
BLK;BLACKROCK INC;Financials;Equity;175,664,996.10;0.41;175,664,996.10;349,443.00;09247X101;US09247X1019;2494504;502.70;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
MS;MORGAN STANLEY;Financials;Equity;175,402,126.08;0.41;175,402,126.08;3,431,184.00;617446448;US6174464486;2262314;51.12;United States;New York Stock Exchange Inc.;USD;1.00;-;USD
MU;MICRON TECHNOLOGY INC;Information Technology;Equity;175,358,241.02;0.41;175,358,241.02;3,260,659.00;595112103;US5951121038;2588184;53.78;United States;NASDAQ;USD;1.00;-;USD
