Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
1954,07,01,,,,0.8,4.6,5.8,
1954,08,01,,,,1.22,,6,
1954,09,01,,,,1.06,,6.1,
1954,10,01,,,,0.85,8,5.7,
1954,11,01,,,,0.83,,5.3,
1954,12,01,,,,1.28,,5,
1955,01,01,,,,1.39,11.9,4.9,
1955,02,01,,,,1.29,,4.7,
1955,03,01,,,,1.35,,4.6,
1955,04,01,,,,1.43,6.7,4.7,
1955,05,01,,,,1.43,,4.3,
1955,06,01,,,,1.64,,4.2,
1955,07,01,,,,1.68,5.5,4,
1955,08,01,,,,1.96,,4.2,
1955,09,01,,,,2.18,,4.1,
1955,10,01,,,,2.24,2.4,4.3,
1955,11,01,,,,2.35,,4.2,
1955,12,01,,,,2.48,,4.2,
1956,01,01,,,,2.45,-1.5,4,
1956,02,01,,,,2.5,,3.9,
1956,03,01,,,,2.5,,4.2,
1956,04,01,,,,2.62,3.4,4,
1956,05,01,,,,2.75,,4.3,
1956,06,01,,,,2.71,,4.3,
1956,07,01,,,,2.75,-0.3,4.4,
1956,08,01,,,,2.73,,4.1,
1956,09,01,,,,2.95,,3.9,
1956,10,01,,,,2.96,6.7,3.9,
1956,11,01,,,,2.88,,4.3,
1956,12,01,,,,2.94,,4.2,
1957,01,01,,,,2.84,2.6,4.2,
1957,02,01,,,,3,,3.9,
1957,03,01,,,,2.96,,3.7,
1957,04,01,,,,3,-0.9,3.9,
1957,05,01,,,,3,,4.1,
1957,06,01,,,,3,,4.3,
1957,07,01,,,,2.99,4,4.2,
1957,08,01,,,,3.24,,4.1,
1957,09,01,,,,3.47,,4.4,
1957,10,01,,,,3.5,-4,4.5,
1957,11,01,,,,3.28,,5.1,
1957,12,01,,,,2.98,,5.2,
1958,01,01,,,,2.72,-10,5.8,3.2
1958,02,01,,,,1.67,,6.4,3.2
1958,03,01,,,,1.2,,6.7,2.8
1958,04,01,,,,1.26,2.6,7.4,2.4
1958,05,01,,,,0.63,,7.4,2.4
1958,06,01,,,,0.93,,7.3,2.1
1958,07,01,,,,0.68,9.6,7.5,2.4
1958,08,01,,,,1.53,,7.4,2.1
1958,09,01,,,,1.76,,7.1,1.7
1958,10,01,,,,1.8,9.7,6.7,1.7
1958,11,01,,,,2.27,,6.2,1.7
1958,12,01,,,,2.42,,6.2,1.7
1959,01,01,,,,2.48,7.7,6,1.7
1959,02,01,,,,2.43,,5.9,1.7
1959,03,01,,,,2.8,,5.6,1.7
1959,04,01,,,,2.96,10.1,5.2,1.7
1959,05,01,,,,2.9,,5.1,2.0
1959,06,01,,,,3.39,,5,2.0
1959,07,01,,,,3.47,-0.8,5.1,2.0
1959,08,01,,,,3.5,,5.2,2.0
1959,09,01,,,,3.76,,5.5,2.4
1959,10,01,,,,3.98,1.6,5.7,2.7
1959,11,01,,,,4,,5.8,2.0
1959,12,01,,,,3.99,,5.3,2.0
1960,01,01,,,,3.99,9.2,5.2,2.0
1960,02,01,,,,3.97,,4.8,2.3
1960,03,01,,,,3.84,,5.4,2.0
1960,04,01,,,,3.92,-1.5,5.2,2.0
1960,05,01,,,,3.85,,5.1,1.7
1960,06,01,,,,3.32,,5.4,1.7
1960,07,01,,,,3.23,1,5.5,1.3
1960,08,01,,,,2.98,,5.6,1.3
1960,09,01,,,,2.6,,5.5,1.0
1960,10,01,,,,2.47,-4.8,6.1,1.0
1960,11,01,,,,2.44,,6.1,1.0
1960,12,01,,,,1.98,,6.6,1.0
1961,01,01,,,,1.45,2.7,6.6,1.0
1961,02,01,,,,2.54,,6.9,0.7
1961,03,01,,,,2.02,,6.9,0.7
1961,04,01,,,,1.49,7.6,7,1.0
1961,05,01,,,,1.98,,7.1,1.0
1961,06,01,,,,1.73,,6.9,1.0
1961,07,01,,,,1.17,6.8,7,1.3
1961,08,01,,,,2,,6.6,1.3
1961,09,01,,,,1.88,,6.7,1.6
1961,10,01,,,,2.26,8.3,6.5,1.3
1961,11,01,,,,2.61,,6.1,1.3
1961,12,01,,,,2.33,,6,1.3
1962,01,01,,,,2.15,7.4,5.8,1.3
1962,02,01,,,,2.37,,5.5,1.3
1962,03,01,,,,2.85,,5.6,1.6
1962,04,01,,,,2.78,4.4,5.6,1.3
1962,05,01,,,,2.36,,5.5,1.6
1962,06,01,,,,2.68,,5.5,1.6
1962,07,01,,,,2.71,3.9,5.4,1.3
1962,08,01,,,,2.93,,5.7,1.3
1962,09,01,,,,2.9,,5.6,1.3
1962,10,01,,,,2.9,1.6,5.4,1.3
1962,11,01,,,,2.94,,5.7,1.3
1962,12,01,,,,2.93,,5.5,1.3
1963,01,01,,,,2.92,4.5,5.7,1.0
1963,02,01,,,,3,,5.9,1.0
1963,03,01,,,,2.98,,5.7,1.0
1963,04,01,,,,2.9,5.3,5.7,1.3
1963,05,01,,,,3,,5.9,1.0
1963,06,01,,,,2.99,,5.6,1.3
1963,07,01,,,,3.02,8,5.6,1.3
1963,08,01,,,,3.49,,5.4,1.6
1963,09,01,,,,3.48,,5.5,1.3
1963,10,01,,,,3.5,2.9,5.5,1.3
1963,11,01,,,,3.48,,5.7,1.6
1963,12,01,,,,3.38,,5.5,1.6
1964,01,01,,,,3.48,8.9,5.6,1.9
1964,02,01,,,,3.48,,5.4,1.9
1964,03,01,,,,3.43,,5.4,1.9
1964,04,01,,,,3.47,4.8,5.3,1.6
1964,05,01,,,,3.5,,5.1,1.6
1964,06,01,,,,3.5,,5.2,1.6
1964,07,01,,,,3.42,5.5,4.9,1.6
1964,08,01,,,,3.5,,5,0.9
1964,09,01,,,,3.45,,5.1,1.3
1964,10,01,,,,3.36,1.4,5.1,1.3
1964,11,01,,,,3.52,,4.8,1.2
1964,12,01,,,,3.85,,5,1.2
1965,01,01,,,,3.9,10.2,4.9,1.6
1965,02,01,,,,3.98,,5.1,1.6
1965,03,01,,,,4.04,,4.7,1.2
1965,04,01,,,,4.09,5.6,4.8,1.6
1965,05,01,,,,4.1,,4.6,1.6
1965,06,01,,,,4.04,,4.6,1.2
1965,07,01,,,,4.09,8.4,4.4,1.2
1965,08,01,,,,4.12,,4.4,1.6
1965,09,01,,,,4.01,,4.3,1.5
1965,10,01,,,,4.08,9.8,4.2,1.5
1965,11,01,,,,4.1,,4.1,1.2
1965,12,01,,,,4.32,,4,1.5
1966,01,01,,,,4.42,10.2,4,0.9
1966,02,01,,,,4.6,,3.8,1.2
1966,03,01,,,,4.65,,3.8,1.5
1966,04,01,,,,4.67,1.6,3.8,1.8
1966,05,01,,,,4.9,,3.9,2.1
1966,06,01,,,,5.17,,3.8,2.4
1966,07,01,,,,5.3,2.9,3.8,2.8
1966,08,01,,,,5.53,,3.8,3.1
1966,09,01,,,,5.4,,3.7,3.0
1966,10,01,,,,5.53,3.5,3.7,3.3
1966,11,01,,,,5.76,,3.6,3.6
1966,12,01,,,,5.4,,3.8,3.3
1967,01,01,,,,4.94,3.7,3.9,3.6
1967,02,01,,,,5,,3.8,3.6
1967,03,01,,,,4.53,,3.8,3.6
1967,04,01,,,,4.05,0.3,3.8,3.3
1967,05,01,,,,3.94,,3.8,3.3
1967,06,01,,,,3.98,,3.9,3.3
1967,07,01,,,,3.79,3.5,3.8,3.3
1967,08,01,,,,3.9,,3.8,3.3
1967,09,01,,,,3.99,,3.8,3.6
1967,10,01,,,,3.88,3.2,4,3.5
1967,11,01,,,,4.13,,3.9,3.5
1967,12,01,,,,4.51,,3.8,3.8
1968,01,01,,,,4.6,8.4,3.7,4.1
1968,02,01,,,,4.71,,3.8,4.1
1968,03,01,,,,5.05,,3.7,4.4
1968,04,01,,,,5.76,6.9,3.5,4.4
1968,05,01,,,,6.11,,3.5,4.3
1968,06,01,,,,6.07,,3.7,4.6
1968,07,01,,,,6.02,2.9,3.7,4.9
1968,08,01,,,,6.03,,3.5,4.9
1968,09,01,,,,5.78,,3.4,4.9
1968,10,01,,,,5.91,1.8,3.4,4.8
1968,11,01,,,,5.82,,3.4,5.1
1968,12,01,,,,6.02,,3.4,5.1
1969,01,01,,,,6.3,6.4,3.4,5.1
1969,02,01,,,,6.61,,3.4,5.3
1969,03,01,,,,6.79,,3.4,5.6
1969,04,01,,,,7.41,1.3,3.4,6.1
1969,05,01,,,,8.67,,3.4,6.1
1969,06,01,,,,8.9,,3.5,5.8
1969,07,01,,,,8.61,2.5,3.5,5.8
1969,08,01,,,,9.19,,3.5,5.8
1969,09,01,,,,9.15,,3.7,6.0
1969,10,01,,,,9,-1.7,3.7,6.0
1969,11,01,,,,8.85,,3.5,5.9
1969,12,01,,,,8.97,,3.5,6.2
1970,01,01,,,,8.98,-0.7,3.9,6.2
1970,02,01,,,,8.98,,4.2,6.1
1970,03,01,,,,7.76,,4.4,6.1
1970,04,01,,,,8.1,0.7,4.6,5.8
1970,05,01,,,,7.94,,4.8,6.0
1970,06,01,,,,7.6,,4.9,6.5
1970,07,01,,,,7.21,3.6,5,6.2
1970,08,01,,,,6.61,,5.1,6.2
1970,09,01,,,,6.29,,5.4,6.2
1970,10,01,,,,6.2,-4,5.5,6.4
1970,11,01,,,,5.6,,5.9,6.6
1970,12,01,,,,4.9,,6.1,6.6
1971,01,01,,,,4.14,11.1,5.9,6.3
1971,02,01,,,,3.72,,5.9,5.8
1971,03,01,,,,3.71,,6,5.2
1971,04,01,,,,4.15,2.3,5.9,5.0
1971,05,01,,,,4.63,,5.9,5.2
1971,06,01,,,,4.91,,5.9,4.9
1971,07,01,,,,5.31,3.2,6,4.9
1971,08,01,,,,5.56,,6.1,4.6
1971,09,01,,,,5.55,,6,4.4
1971,10,01,,,,5.2,1.2,5.8,3.8
1971,11,01,,,,4.91,,6,3.3
1971,12,01,,,,4.14,,6,3.1
1972,01,01,,,,3.5,7.4,5.8,3.1
1972,02,01,,,,3.29,,5.7,3.3
1972,03,01,,,,3.83,,5.8,3.3
1972,04,01,,,,4.17,9.6,5.7,3.3
1972,05,01,,,,4.27,,5.7,3.1
1972,06,01,,,,4.46,,5.7,2.8
1972,07,01,,,,4.55,3.7,5.6,2.8
1972,08,01,,,,4.8,,5.6,3.3
1972,09,01,,,,4.87,,5.5,2.8
1972,10,01,,,,5.04,6.8,5.6,3.0
1972,11,01,,,,5.06,,5.3,3.0
1972,12,01,,,,5.33,,5.2,3.0
1973,01,01,,,,5.94,10.2,4.9,2.8
1973,02,01,,,,6.58,,5,2.8
1973,03,01,,,,7.09,,4.9,3.0
1973,04,01,,,,7.12,4.6,5,3.2
1973,05,01,,,,7.84,,4.9,3.2
1973,06,01,,,,8.49,,4.9,3.2
1973,07,01,,,,10.4,-2.2,4.8,3.2
1973,08,01,,,,10.5,,4.8,3.2
1973,09,01,,,,10.78,,4.8,3.8
1973,10,01,,,,10.01,3.8,4.6,4.3
1973,11,01,,,,10.03,,4.8,4.5
1973,12,01,,,,9.95,,4.9,4.7
1974,01,01,,,,9.65,-3.3,5.1,4.9
1974,02,01,,,,8.97,,5.2,5.4
1974,03,01,,,,9.35,,5.1,5.8
1974,04,01,,,,10.51,1.1,5.1,6.2
1974,05,01,,,,11.31,,5.1,6.8
1974,06,01,,,,11.93,,5.4,7.9
1974,07,01,,,,12.92,-3.8,5.5,8.8
1974,08,01,,,,12.01,,5.5,9.6
1974,09,01,,,,11.34,,5.9,10.2
1974,10,01,,,,10.06,-1.6,6,10.6
1974,11,01,,,,9.45,,6.6,11.2
