Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.07","226.50","5,773,842.00","1,307,775,213.00","1,307,775,213.00","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.01","139.40","9,203,480.00","1,282,965,112.00","1,282,965,112.00","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","2.28","145.87","6,655,914.00","970,898,175.18","970,898,175.18","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","2.04","69.78","12,492,575.00","871,731,883.50","871,731,883.50","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","2.01","124.90","6,871,540.00","858,255,346.00","858,255,346.00","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.98","35.22","24,014,300.00","845,783,646.00","845,783,646.00","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.97","39.08","21,545,277.00","841,989,425.16","841,989,425.16","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","1.80","59.85","12,846,930.00","768,888,760.50","768,888,760.50","Information Technology","2463247","US4581401001","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.76","61.40","12,213,192.00","749,889,988.80","749,889,988.80","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","1.75","144.63","5,153,094.00","745,291,985.22","745,291,985.22","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.59","120.51","5,626,925.00","678,100,731.75","678,100,731.75","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.51","39.18","16,417,416.00","643,234,358.88","643,234,358.88","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.42","53.80","11,245,214.00","604,992,513.20","604,992,513.20","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","1.21","79.89","6,438,793.00","514,395,172.77","514,395,172.77","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"WMT","WALMART INC","Equity","1.15","118.84","4,143,574.00","492,422,334.16","492,422,334.16","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","1.05","113.45","3,959,757.00","449,234,431.65","449,234,431.65","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.92","85.09","4,585,501.00","390,180,280.09","390,180,280.09","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.86","197.61","1,865,310.00","368,603,909.10","368,603,909.10","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.84","149.76","2,392,760.00","358,339,737.60","358,339,737.60","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.82","242.16","1,441,161.00","348,991,547.76","348,991,547.76","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"LIN","LINDE PLC","Equity","0.79","212.90","1,585,096.00","337,466,938.40","337,466,938.40","Materials","BZ12WP8","IE00BZ12WP82","New York Stock Exchange Inc."
